municipality_id	municipality	max_cases	max_hospitalized	max_deaths	day_first_case	day_first_death	day_50_cases	day_10_deaths	total_cases	total_deaths
27008	Huimanguillo	25	9	4	2020-03-29	2020-04-13	2020-05-11	2020-05-05	1860	262
27010	Jalpa de Méndez	26	4	5	2020-03-25	2020-04-17	2020-05-06	2020-05-26	1562	106
27012	Macuspana	42	6	5	2020-04-08	2020-04-20	2020-05-05	2020-05-04	3906	374
27013	Nacajuca	48	8	6	2020-03-27	2020-04-19	2020-04-21	2020-05-03	3000	199
27014	Paraíso	28	8	4	2020-03-30	2020-04-01	2020-04-28	2020-05-10	1019	127
27016	Teapa	20	5	5	2020-04-13	2020-04-25	2020-05-22	2020-05-24	653	105
27017	Tenosique	32	3	5	2020-03-31	2020-05-08	2020-05-22	2020-06-16	1082	67
28003	Altamira	48	8	8	2020-03-15	2020-05-21	2020-05-16	2020-06-22	2692	183
28009	Ciudad Madero	53	13	7	2020-03-19	2020-04-24	2020-04-24	2020-05-30	3155	221
28021	El Mante	28	10	4	2020-03-29	2020-04-23	2020-06-05	2020-06-29	1175	92
28022	Matamoros	111	22	9	2020-03-20	2020-04-17	2020-04-17	2020-05-07	5651	406
28025	Miguel Alemán	21	3	3	2020-05-21	2020-06-30	2020-07-09	2020-08-09	338	24
28027	Nuevo Laredo	62	14	10	2020-03-27	2020-04-04	2020-04-30	2020-05-13	2681	349
28032	Reynosa	179	29	22	2020-03-16	2020-04-03	2020-05-02	2020-05-24	5605	726
28033	Río Bravo	24	6	3	2020-03-30	2020-04-20	2020-05-25	2020-06-17	727	80
28035	San Fernando	20	4	2	2020-05-16	2020-05-28	2020-07-01	2020-07-30	440	22
28038	Tampico	82	15	9	2020-03-22	2020-04-14	2020-04-23	2020-05-21	5428	459
28040	Valle Hermoso	16	3	1	2020-04-28	2020-06-03	2020-06-22	2020-08-04	489	22
28041	Victoria	67	10	5	2020-03-23	2020-04-23	2020-04-23	2020-05-30	4424	192
29001	Amaxac de Guerrero	4	2	2	2020-04-14	2020-05-26	2020-07-21	2020-08-01	105	14
29002	Apetatitlán de Antonio Carvajal	9	3	2	2020-04-14	2020-05-29	2020-06-25	2020-07-03	166	23
29005	Apizaco	15	6	4	2020-03-28	2020-04-12	2020-05-18	2020-05-24	976	109
29006	Calpulalpan	7	4	2	2020-04-22	2020-05-02	2020-06-18	2020-06-08	239	49
29010	Chiautempan	13	5	6	2020-04-12	2020-04-21	2020-05-24	2020-06-02	604	105
29013	Huamantla	14	8	3	2020-04-01	2020-04-12	2020-05-29	2020-06-03	497	63
29015	Ixtacuixtla de Mariano Matamoros	6	2	2	2020-04-25	2020-05-12	2020-06-27	2020-07-06	226	39
29018	Contla de Juan Cuamatzi	8	3	3	2020-04-16	2020-05-01	2020-06-08	2020-06-07	299	57
29019	Tepetitla de Lardizábal	4	2	1	2020-04-26	2020-04-27	2020-08-17	2020-07-15	76	17
29023	Natívitas	4	3	2	2020-04-16	2020-04-23	2020-07-07	2020-07-11	117	25
29024	Panotla	5	2	2	2020-04-07	2020-05-21	2020-06-29	2020-07-22	166	17
29025	San Pablo del Monte	7	3	3	2020-04-10	2020-04-19	2020-05-28	2020-05-20	252	55
29026	Santa Cruz Tlaxcala	7	2	2	2020-03-27	2020-05-05	2020-07-01	2020-07-03	154	23
29027	Tenancingo	3	3	2	2020-04-18	2020-04-29	2020-08-03	2020-07-14	68	19
29028	Teolocholco	6	3	2	2020-04-04	2020-04-24	2020-07-13	2020-07-14	119	21
29029	Tepeyanco	4	1	1	2020-03-28	2020-04-21	2020-07-23	2020-08-22	111	13
29031	Tetla de la Solidaridad	9	4	1	2020-04-07	2020-05-04	2020-07-03	2020-07-22	186	18
29032	Tetlatlahuca	4	2	1	2020-05-02	2020-07-07	2020-08-25	2020-10-11	68	12
29033	Tlaxcala	24	7	6	2020-03-23	2020-04-26	2020-05-08	2020-05-24	1611	184
29034	Tlaxco	11	2	2	2020-04-16	2020-04-17	2020-07-02	2020-06-27	200	18
29036	Totolac	5	3	2	2020-04-05	2020-05-29	2020-06-19	2020-07-14	204	30
29039	Xaloztoc	5	3	3	2020-04-01	2020-05-13	2020-07-15	2020-07-09	130	23
29041	Papalotla de Xicohténcatl	5	2	2	2020-04-05	2020-04-28	2020-06-22	2020-06-18	167	43
29043	Yauhquemehcan	8	2	1	2020-04-06	2020-04-12	2020-06-06	2020-08-04	261	20
29044	Zacatelco	9	3	2	2020-03-24	2020-04-14	2020-05-22	2020-05-28	439	67
29048	La Magdalena Tlaltelulco	4	2	2	2020-05-07	2020-05-11	2020-07-15	2020-07-21	89	18
30003	Acayucan	6	5	2	2020-04-23	2020-05-02	2020-06-17	2020-06-21	163	34
30010	Altotonga	3	2	2	2020-05-27	2020-06-09	2020-10-02	2020-08-09	59	19
30011	Alvarado	10	3	2	2020-04-03	2020-04-09	2020-06-14	2020-06-27	308	29
30014	Amatlán de los Reyes	5	4	1	2020-04-07	2020-05-29	2020-06-29	2020-09-02	145	14
30016	La Antigua	17	4	4	2020-03-31	2020-05-17	2020-06-14	2020-07-01	548	48
30026	Banderilla	3	2	2	2020-05-11	2020-06-30	2020-08-14	2020-08-22	72	13
30028	Boca del Río	18	6	4	2020-03-15	2020-04-18	2020-04-27	2020-05-14	965	124
30030	Camerino Z. Mendoza	9	3	2	2020-05-01	2020-05-02	2020-07-09	2020-09-22	294	19
30032	Catemaco	5	4	2	2020-04-27	2020-04-29	2020-07-26	2020-07-07	64	17
30038	Coatepec	10	6	2	2020-04-12	2020-05-06	2020-06-26	2020-06-22	268	60
30039	Coatzacoalcos	37	20	11	2020-03-19	2020-04-13	2020-04-24	2020-04-26	2239	473
30040	Coatzintla	7	4	2	2020-04-23	2020-04-25	2020-05-29	2020-06-06	301	47
30044	Córdoba	50	12	6	2020-04-01	2020-05-05	2020-05-18	2020-05-22	2105	192
30045	Cosamaloapan de Carpio	40	4	2	2020-04-11	2020-05-16	2020-05-28	2020-06-17	816	54
30048	Cosoleacaque	11	7	4	2020-04-15	2020-04-29	2020-05-21	2020-05-20	416	91
30061	Las Choapas	7	6	3	2020-04-25	2020-05-04	2020-06-12	2020-06-06	212	47
30065	Emiliano Zapata	6	3	2	2020-04-01	2020-04-01	2020-07-01	2020-07-17	200	27
30068	Fortín	18	3	2	2020-03-26	2020-04-26	2020-06-04	2020-06-27	632	31
30085	Ixtaczoquitlán	13	2	2	2020-03-18	2020-05-11	2020-06-23	2020-07-27	546	25
30087	Xalapa	50	23	10	2020-03-23	2020-05-05	2020-05-21	2020-05-31	2517	383
30089	Jáltipan	6	4	2	2020-04-17	2020-04-30	2020-06-17	2020-06-16	132	37
30092	Xico	3	1	2	2020-04-22	2020-04-22	2020-09-01	2020-07-26	60	15
30097	Lerdo de Tejada	6	4	3	2020-04-21	2020-05-05	2020-07-09	2020-07-12	129	26
30100	Manlio Fabio Altamirano	4	2	1	2020-05-02	2020-05-10	2020-07-24	2020-06-22	77	18
30101	Mariano Escobedo	10	3	3	2020-04-21	2020-05-04	2020-07-07	2020-07-24	290	29
30102	Martínez de la Torre	16	8	4	2020-04-03	2020-04-12	2020-06-04	2020-06-12	508	71
30105	Medellín de Bravo	9	5	2	2020-04-10	2020-04-25	2020-05-22	2020-06-01	418	53
30108	Minatitlán	20	9	5	2020-04-14	2020-04-22	2020-05-06	2020-05-11	1140	211
30109	Misantla	5	3	2	2020-04-20	2020-04-27	2020-07-22	2020-07-27	101	14
30115	Nogales	14	2	1	2020-04-16	2020-04-23	2020-07-02	2020-07-30	436	23
30118	Orizaba	57	9	5	2020-04-16	2020-04-22	2020-05-26	2020-06-04	2289	119
30123	Pánuco	20	3	2	2020-04-15	2020-04-19	2020-06-29	2020-07-07	596	37
30124	Papantla	11	6	4	2020-04-15	2020-05-10	2020-05-22	2020-05-21	443	92
30128	Perote	9	5	2	2020-03-30	2020-04-22	2020-06-17	2020-06-10	231	49
30131	Poza Rica de Hidalgo	36	11	8	2020-03-24	2020-04-03	2020-04-27	2020-05-02	2001	310
30133	Pueblo Viejo	5	2	1	2020-04-30	2020-05-19	2020-07-21	2020-07-30	117	18
30134	Puente Nacional	5	2	2	2020-04-17	2020-05-27	2020-07-15	2020-08-02	149	19
30138	Río Blanco	14	3	2	2020-04-02	2020-05-27	2020-06-17	2020-08-02	654	35
30141	San Andrés Tuxtla	12	10	6	2020-04-09	2020-04-29	2020-06-03	2020-06-02	397	101
30143	Santiago Tuxtla	5	4	3	2020-04-03	2020-05-09	2020-07-01	2020-06-29	88	24
30155	Tantoyuca	5	3	1	2020-03-30	2020-05-24	2020-08-07	2020-08-25	83	15
30160	Álamo Temapache	5	3	2	2020-04-28	2020-05-25	2020-07-06	2020-07-26	154	26
30174	Tierra Blanca	26	4	3	2020-04-19	2020-04-28	2020-06-10	2020-06-14	321	50
30175	Tihuatlán	6	3	2	2020-04-23	2020-04-27	2020-06-18	2020-05-21	252	58
30183	Tlapacoyan	5	4	2	2020-05-12	2020-05-21	2020-07-19	2020-07-12	162	52
30189	Tuxpan	19	9	5	2020-04-04	2020-05-12	2020-05-17	2020-05-31	1180	130
30193	Veracruz	95	33	18	2020-03-15	2020-04-12	2020-04-13	2020-04-25	8533	1073
30204	Agua Dulce	9	6	3	2020-04-15	2020-04-29	2020-06-18	2020-06-12	170	60
30206	Nanchital de Lázaro Cárdenas del Río	9	8	3	2020-04-02	2020-05-02	2020-06-09	2020-05-30	185	55
30207	Tres Valles	12	4	2	2020-04-13	2020-05-01	2020-07-02	2020-07-21	225	26
30208	Carlos A. Carrillo	7	3	2	2020-04-16	2020-05-18	2020-07-03	2020-07-25	148	22
31002	Acanceh	4	4	2	2020-04-21	2020-05-17	2020-07-13	2020-06-16	88	38
31013	Conkal	4	2	1	2020-04-13	2020-05-05	2020-09-12	2020-10-05	69	12
31038	Hunucmá	4	2	2	2020-04-11	2020-04-21	2020-06-06	2020-06-28	172	31
31040	Izamal	4	3	2	2020-04-07	2020-04-10	2020-07-10	2020-07-20	139	37
31041	Kanasín	12	3	3	2020-03-31	2020-04-07	2020-05-16	2020-06-06	549	65
31050	Mérida	225	36	21	2020-03-12	2020-04-03	2020-03-29	2020-04-20	13447	1062
31052	Motul	9	3	3	2020-04-14	2020-05-07	2020-07-11	2020-07-09	180	48
31056	Oxkutzcab	12	5	2	2020-05-05	2020-05-27	2020-07-28	2020-08-12	92	15
31059	Progreso	23	3	2	2020-04-07	2020-05-05	2020-06-25	2020-07-13	515	41
31079	Tekax	15	1	1	2020-04-12	2020-04-23	2020-06-11	2020-07-06	420	16
31089	Ticul	26	4	4	2020-04-03	2020-05-20	2020-06-09	2020-07-04	760	32
31093	Tixkokob	3	2	1	2020-04-26	2020-05-14	2020-08-09	2020-07-31	72	16
31096	Tizimín	27	4	2	2020-04-05	2020-06-24	2020-06-22	2020-08-13	855	35
31101	Umán	20	5	4	2020-03-28	2020-04-07	2020-05-14	2020-06-01	575	77
31102	Valladolid	40	7	3	2020-03-22	2020-04-10	2020-05-16	2020-07-03	1807	32
32005	Calera	5	3	2	2020-05-13	2020-06-15	2020-07-12	2020-07-25	246	40
32010	Fresnillo	60	10	5	2020-04-05	2020-04-29	2020-06-01	2020-06-09	2498	210
32017	Guadalupe	61	10	5	2020-03-16	2020-03-31	2020-05-29	2020-07-10	3188	175
32020	Jerez	20	5	3	2020-03-27	2020-04-04	2020-07-17	2020-07-19	359	55
32024	Loreto	8	3	1	2020-04-23	2020-05-02	2020-07-20	2020-08-11	208	20
32029	Miguel Auza	7	2	1	2020-04-28	2020-07-12	2020-10-14	2020-11-09	73	11
32032	Morelos	6	2	2	2020-05-06	2020-05-23	2020-08-18	2020-09-17	143	14
32034	Nochistlán de Mejía	17	2	2	2020-05-04	2020-07-15	2020-08-06	2020-10-06	221	11
32036	Ojocaliente	9	2	2	2020-04-21	2020-04-27	2020-07-26	2020-08-29	195	20
32039	Río Grande	8	5	2	2020-04-29	2020-05-10	2020-07-10	2020-07-17	335	47
32042	Sombrerete	26	2	1	2020-03-20	2020-05-17	2020-07-31	2020-08-30	489	25
32050	Vetagrande	3	3	2	2020-07-07	2020-07-14	2020-11-04	2020-10-14	51	12
32056	Zacatecas	66	13	5	2020-03-24	2020-05-02	2020-05-22	2020-06-20	3424	234
32057	Trancoso	6	3	2	2020-04-20	2020-07-10	2020-09-01	2020-09-12	131	22
